227401	Facebook Now Lets You Ask Friends Why They're Single	http://www.craveonline.com/lifestyle/tech-and-gadgets-news/691241-facebook-now-lets-you-ask-friends-why-theyre-single	Crave Online	t	dCh0ShsurxckWeMHjSczlp7e7ijuM	www.craveonline.com	1400642804058
227402	Facebook adds a button that lets you ask your friends why their last relationship  ...	http://ampp3d.mirror.co.uk/2014/05/19/facebook-adds-a-button-that-lets-you-ask-your-friends-why-their-last-relationship-failed/	Mirror.co.uk	t	dCh0ShsurxckWeMHjSczlp7e7ijuM	ampp3d.mirror.co.uk	1400642804266
227403	Facebook Just Added A Button That Lets You Ask Your Friends If They're Single	http://www.businessinsider.in/sai/Facebook-Just-Added-A-Button-That-Lets-You-Ask-Your-Friends-If-Theyre-Single/articleshow/35325495.cms	Businessinsider India	t	dCh0ShsurxckWeMHjSczlp7e7ijuM	www.businessinsider.in	1400642804578
227404	Facebook Just Added A Button That Lets You Ask Your Friends Why They're Single	http://www.businessinsider.com/facebook-relationship-button-2014-5	Business Insider	t	dCh0ShsurxckWeMHjSczlp7e7ijuM	www.businessinsider.com	1400642804813
227405	UPDATE 1-US Air Force says working hard to certify new rocket launcher	http://in.reuters.com/article/2014/05/21/usa-military-satellites-idINL1N0O702U20140521	Reuters	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	in.reuters.com	1400643219514
227406	US Air Force says working hard to certify new rocket launcher	http://in.reuters.com/article/2014/05/21/us-usa-military-satellites-idINKBN0E104620140521	Reuters	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	in.reuters.com	1400643219685
227407	SpaceX takes steps towards Mars colony	http://thespacereporter.com/2014/05/spacex-takes-steps-towards-mars-colony/	The Space Reporter	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	thespacereporter.com	1400643219923
227408	General of Space Command Calls for Cheaper Space Systems	http://www.designntrend.com/articles/14256/20140520/general-of-space-command-calls-for-cheaper-space-systems.htm	Design \& Trend	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.designntrend.com	1400643220168
227409	Pentagon's Gen. Shelton: End Reliance on Russian Rockets	http://www.newsmax.com/us/rocket-space-station-genshelton-spacex/2014/05/20/id/572478/	Newsmax.com	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.newsmax.com	1400643220424
227410	U.S. Air Force: SpaceX rocket engine could be certified by December	http://www.sciencerecorder.com/news/u-s-air-force-spacex-rocket-engine-could-be-certified-by-december/	Science Recorder	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.sciencerecorder.com	1400643220703
227411	Lockheed-Boeing venture says rocket launch costs lower than claimed by rival	http://news.yahoo.com/lockheed-boeing-venture-says-rocket-launch-costs-lower-055418358.html	Yahoo News	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	news.yahoo.com	1400643220939
227412	Pentagon's Space Chief Warns on Conflict, US Capabilities	http://online.wsj.com/article/BT-CO-20140520-713315.html	Wall Street Journal	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	online.wsj.com	1400643221248
227413	Space Command boss wants more smaller, cheaper space-based systems	http://gazette.com/space-command-boss-wants-more-smaller-cheaper-space-based-systems/article/1520315	Colorado Springs Gazette	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	gazette.com	1400643221487
227414	SpaceX's Elon Musk claims 'progress' for Mars colony goal with reusable rockets	http://www.examiner.com/article/spacex-s-elon-musk-claims-progress-for-mars-colony-goal-with-reusable-rockets	Examiner.com	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.examiner.com	1400643221774
227415	US sanctions on Russia look a lot different from space	http://thegrio.com/2014/05/20/us-russia-sanctions-space-satellite/	The Grio	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	thegrio.com	1400643222029
227416	US Air Force Space Head on SpaceX, Engine Issues	http://www.defensenews.com/article/20140520/DEFREG/305200047/US-Air-Force-Space-Head-SpaceX-Engine-Issues	DefenseNews.com	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.defensenews.com	1400643222272
227417	U.S. Air Force not sure Russia means business about rocket sales ban to ULA	http://www.bizjournals.com/denver/blog/boosters_bits/2014/05/u-s-air-force-not-sure-russia-means-business-about.html	Denver Business Journal \(blog\)	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.bizjournals.com	1400643222507
227418	SpaceX 'Making Progress' Toward Creating Permanent Mars Colony	http://www.scienceworldreport.com/articles/14857/20140520/spacex-making-progress-toward-creating-permanent-mars-colony.htm	Science World Report	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.scienceworldreport.com	1400643222726
227419	SpaceX making 'progress' towards Mars colony by 2020, claims Elon Musk	http://www.dailymail.co.uk/sciencetech/article-2634046/Elon-Musk-says-SpaceX-making-progress-Mars-colony-2020-plans-sell-tickets-500-000.html	Daily Mail	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.dailymail.co.uk	1400643222954
227420	Lockheed-Boeing venture says rocket launch costs lower	http://www.sabc.co.za/news/a/aa94e980441164ea9993fde2e61545ac/Mixed-reactions-to-ANC-premiers-20142005	South African Broadcasting Corporation	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.sabc.co.za	1400643223237
227421	Elon Musk, SpaceX want to move you to Mars for $500000	http://www.slashgear.com/elon-musk-spacex-want-to-move-you-to-mars-for-500000-20329740/	SlashGear	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.slashgear.com	1400643223544
227422	SpaceX and Mars	http://www.d-silence.com/headlines/SpaceX%20and%20Mars/29439	Digital Silence	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.d-silence.com	1400643223745
227423	Liddick: Elon Musk and a lawsuit over Russian rockets	http://www.summitdaily.com/news/11485429-113/space-russian-ula-musk	Summit Daily News	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.summitdaily.com	1400643223966
227424	SpaceX making 'progress' toward Mars colony, says Elon Musk	http://www.mnn.com/earth-matters/space/stories/spacex-making-progress-toward-mars-colony-says-elon-musk	Mother Nature Network	t	dnbLtQ6WjiDxd7M-wnwKlhvJld1mM	www.mnn.com	1400643224153
