74201	GM, government safety agency face Congress's questions about recalls	http://www.newser.com/article/e684b6d7d4074c979002e89905ffef75/gm-government-safety-agency-face-congresss-questions-about-recalls.html	Newser	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.newser.com	1396347865338
74202	General Motors Recalls Keep Coming With 1.3 Million New Vehicles	http://www.tflcar.com/2014/03/general-motors-recalls-keep-coming-with-1-3-million-new-vehicles/	TFLcar.com	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.tflcar.com	1396347865590
74203	GM recalls another 1.3m to fix power steering - WLTZ 38 | Columbus Georgia  ...	http://www.wltz.com/story/25122746/m-recalls-another-13m-to-fix-power-steering	WLTZ 38 NBC	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.wltz.com	1396347865934
74204	Memo on General Motors recall hints why ignition switch wasn't redesigned  ...	http://www.jsonline.com/blogs/news/253249351.html	Milwaukee Journal Sentinel \(blog\)	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.jsonline.com	1396347866160
74205	GM recalls 1.3 million vehicles for power steering failure	http://www.netnebraska.org/node/910037	NET Website	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.netnebraska.org	1396347866412
74206	GM CEO Testifies To Congress	http://news.investors.com/033114-695335-gm-ceo-testifies-to-congress.htm	Investor's Business Daily	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	news.investors.com	1396347866618
74207	New GM Power Steering Recall Affects 1.3 Million Vehicles	http://wot.motortrend.com/1403_new_gm_power_steering_recall_affects_1_3_million_vehicles.html	MotorTrend Magazine	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	wot.motortrend.com	1396347866854
74208	GM recalling more than 1.3 million cars over power steering issue	http://www.turnto23.com/news/us-world/gm-recalling-more-than-13-million-cars-over-power-steering-issue-033114	KERO-TV 23	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.turnto23.com	1396347867100
74209	New GM recall: 1.5 million vehicles with steering issue	http://www.newsday.com/classifieds/cars/new-gm-recall-1-5-million-vehicles-with-steering-issue-1.7563080	Newsday	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.newsday.com	1396347867343
74210	GM Recalls 1.3M Cars for Power Steering Problems	http://www.automotive.com/news/1403-gm-recalls-1-3m-cars-for-power-steering-problems/	automotive.com	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.automotive.com	1396347867628
74211	General Motors in More Trouble, Recalls 1.5 Million Vehicles	http://www.autoworldnews.com/articles/6819/20140331/general-motors-in-more-trouble-recalls-1-5-million-vehicles.htm	Auto World News	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.autoworldnews.com	1396347868124
74212	General Motors' recalls now top 6.3 million; another 1.5 million cars added today	http://www.al.com/business/index.ssf/2014/03/general_motors_recall_crisis_h.html	al.com	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.al.com	1396347868332
74213	GM to recall 1.5 mln vehicles to fix electric power steering issue	http://wardsauto.com/update-1-gm-recall-15-mln-vehicles-fix-electric-power-steering-issue	Ward's Auto \(subscription\)	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	wardsauto.com	1396347868548
74214	GM to Issue Another Recall; 6.1 Million Vehicles Now Implicated	http://wardsauto.com/auto-makers/gm-issue-another-recall-61-million-vehicles-now-implicated	Ward's Auto \(subscription\)	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	wardsauto.com	1396347868860
74215	GM recalls 1.5 million vehicles for power steering defect	http://www.toledoblade.com/Automotive/2014/03/31/GM-recalls-1-3-million-vehicles-for-power-steering-defect.html	Toledo Blade	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.toledoblade.com	1396347869062
74216	Two Reasons The GM Recall Is Unlike Any Recall We've Ever Seen	http://www.businessinsider.in/Two-Reasons-The-GM-Recall-Is-Unlike-Any-Recall-Weve-Ever-Seen/articleshow/33039353.cms	Businessinsider India	t	dqxiq86cPfEPaJMad0HoUDoj4yhmM	www.businessinsider.in	1396347869296
